BackT,Clave,Composicion_1,Composicion_2,Composicion_3,Composicion_4,F_Inicio,F_Fin,Trigger,Strike,Cupon,Rentabilidad,ProbNeut_Put,Prob_Put,NPVNeut_Put,NPV_Put,VaR95,ES95,Bloque,Vida_Media,rhoCesta,volatCesta,NPVPut_Back,NCupones_Back,Rentabilidad_Back,Fin_Ventana
1,131,ALPHABET FACEBOOK LVMH,ALPHABET,FACEBOOK,LVMH,07/30/2018,06/26/2020,1,0.95,27.59684296,10.66531043,0.64485,0.4582,-23.83267001,-13.17462499,-32.16474501,-45.01571756,15,0.8686625,0.654799387,0.425409766,0,0,0,783
1,131,ALPHABET FACEBOOK LVMH,ALPHABET,FACEBOOK,LVMH,07/30/2018,06/26/2020,1,0.85,20.44079526,8.623976145,0.59945,0.3731,-17.65269777,-9.041309493,-28.3809353,-41.23190785,15,0.8686625,0.654799387,0.425409766,0,0,0,783
1,96,ALPHABET AMAZON PMORRIS,ALPHABET,AMAZON,PMORRIS,07/30/2018,06/26/2020,1,0.95,27.01521661,12.98558368,0.64545,0.4532,-23.33336561,-10.380238,-19.98598879,-31.49852935,15,0.868775,0.666128983,0.408968458,0,0,0,783
1,96,ALPHABET AMAZON PMORRIS,ALPHABET,AMAZON,PMORRIS,07/30/2018,06/26/2020,1,0.85,19.87738731,10.83567548,0.59625,0.3511,-17.1683371,-6.36928926,-16.18715644,-27.699697,15,0.868775,0.666128983,0.408968458,0,0,0,783
1,284,COMCAST ALIBABA CANRAIL,COMCAST,ALIBABA,CANRAIL,07/30/2018,06/26/2020,1,0.95,25.46483906,10.53269276,0.6435,0.5157,-21.9984002,-11.47929203,-21.97466592,-31.26155051,15,0.8689375,0.663514681,0.383715354,0,0,0,783
1,284,COMCAST ALIBABA CANRAIL,COMCAST,ALIBABA,CANRAIL,07/30/2018,06/26/2020,1,0.85,18.37409636,8.945233831,0.5891,0.39285,-15.87289534,-6.950850322,-18.13607816,-27.42296275,15,0.8689375,0.663514681,0.383715354,0,0,0,783
1,437,VISA ALIBABA LVMH,VISA,ALIBABA,LVMH,07/30/2018,06/26/2020,1,0.95,27.36148345,12.29381401,0.6455,0.4131,-23.63891479,-11.36939282,-27.46039941,-42.17086736,15,0.8690125,0.668794864,0.409909739,0,0,0,783
1,437,VISA ALIBABA LVMH,VISA,ALIBABA,LVMH,07/30/2018,06/26/2020,1,0.85,20.23063291,9.837909261,0.59575,0.33245,-17.47822659,-7.665721831,-23.65719766,-38.36766561,15,0.8690125,0.668794864,0.409909739,0,0,0,783
1,382,MICROSOFT S_P LVMH,MICROSOFT,S_P,LVMH,07/30/2018,06/26/2020,1,0.95,30.53812723,19.55321621,0.64915,0.2615,-26.38526038,-6.917187814,-17.16989898,-34.06823196,15,0.869075,0.683164023,0.480599499,0,0,0,783
1,382,MICROSOFT S_P LVMH,MICROSOFT,S_P,LVMH,07/30/2018,06/26/2020,1,0.85,23.31908489,15.58422062,0.60735,0.19885,-20.14793252,-4.635228267,-13.4437882,-30.34212118,15,0.869075,0.683164023,0.480599499,0,0,0,783
1,194,AMAZON FACEBOOK VISA,AMAZON,FACEBOOK,VISA,07/30/2018,06/26/2020,1,0.95,28.54638265,13.62121417,0.6486,0.3752,-24.66436345,-11.07641352,-30.59797402,-45.26090918,15,0.869075,0.66788328,0.443319186,0,0,0,783
1,382,MICROSOFT S_P LVMH,MICROSOFT,S_P,LVMH,07/30/2018,06/26/2020,1,0.75,16.69538351,11.52331741,0.54495,0.1413,-14.42498545,-2.956509602,-9.200281484,-26.09861446,15,0.869075,0.683164023,0.480599499,0,0,0,783
1,194,AMAZON FACEBOOK VISA,AMAZON,FACEBOOK,VISA,07/30/2018,06/26/2020,1,0.85,21.36314831,10.78524394,0.601,0.3033,-18.4579763,-7.703512595,-26.8407434,-41.50367856,15,0.869075,0.66788328,0.443319186,0,0,0,783
1,201,AMAZON MICROSOFT S_P,AMAZON,MICROSOFT,S_P,07/30/2018,06/26/2020,1,0.95,29.98160742,20.59979013,0.6483,0.22505,-25.90885445,-5.406634996,-10.60081674,-27.79341171,15,0.869225,0.681371168,0.468231131,0,0,0,783
1,201,AMAZON MICROSOFT S_P,AMAZON,MICROSOFT,S_P,07/30/2018,06/26/2020,1,0.85,22.78776831,16.3023474,0.6035,0.1654,-19.69223878,-3.470471692,-6.853881539,-24.04647651,15,0.869225,0.681371168,0.468231131,0,0,0,783
